All Day Event,Start Date,Start Time,End Date,End Time,My Summary,X-MICROSOFT-CDO-BUSYSTATUS,Alarm Hours Before 1,Alarm Hours Before 2
TRUE,1/5/2026,,1/6/2026,,St Ann: Christmas Break (YCC & K-8),OOF,,
FALSE,1/9/2026,7:30 AM,1/9/2026,8:00 AM,St Ann: Spirit Day & Spirit Day Cafe,FREE,,
FALSE,1/12/2026,11:30 AM,1/12/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,1/13/2026,7:00 PM,1/13/2026,8:00 PM,St Ann: PTO Meeting,FREE,,
TRUE,1/19/2026,,1/20/2026,,"St Ann: No School & YCC Closed | Martin Luther King, Jr. Day",OOF,,
FALSE,1/26/2026,11:30 AM,1/26/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,1/30/2026,11:30 AM,1/30/2026,5:00 PM,St Ann: 11:45 AM Early Dismissal (K-8),OOF,,
FALSE,1/30/2026,6:30 PM,1/30/2026,9:00 PM,St Ann: Trivia Night,OOF,,
FALSE,1/30/2026,9:30 PM,1/30/2026,10:30 PM,St Ann: K-8 Talent Show,OOF,,
FALSE,2/6/2026,7:30 AM,2/6/2026,8:00 AM,St Ann: Spirit Day & Spirit Day Cafe,FREE,,
FALSE,2/9/2026,11:30 AM,2/9/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,2/10/2026,7:00 PM,2/10/2026,8:00 PM,St Ann: PTO Meetin,FREE,,
FALSE,2/12/2026,11:30 AM,2/12/2026,5:00 PM,St Ann: 11:45 AM Early Dismissal (K-8),OOF,,
FALSE,2/12/2026,11:00 AM,2/12/2026,12:00 PM,St Ann: K-8 St. Valentine Day Parties,FREE,,
TRUE,2/13/2026,,2/14/2026,,St Ann: YCC & K- 8 Spring Conferences | No School,OOF,,
FALSE,2/13/2026,10:00 AM,2/13/2026,12:00 PM,St Ann: K-8 Parent Teacher Conferences,OOF,,
FALSE,2/13/2026,1:00 PM,2/13/2026,4:00 PM,St Ann: K-8 Parent Teacher Conferences,OOF,,
TRUE,2/16/2026,,2/17/2026,,St Ann: No School & YCC Closed | President's Day,OOF,,
FALSE,2/23/2026,11:30 AM,2/23/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,2/27/2026,11:30 AM,2/27/2026,5:00 PM,St Ann: K-8 Early Dismissal,OOF,,
FALSE,3/3/2026,8:00 AM,3/3/2026,9:00 AM,St Ann: Class Photos and 8th Grade Composite Photo,FREE,,
FALSE,3/6/2026,7:30 AM,3/6/2026,8:00 AM,St Ann: Spirit Day & Spirit Day Cafe,FREE,,
FALSE,3/9/2026,11:30 AM,3/9/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,3/10/2026,5:00 PM,3/10/2026,8:00 PM,St Ann: Culver's Spirirt Night,FREE,,
FALSE,3/10/2026,7:00 PM,3/10/2026,8:00 PM,St Ann: PTO Meeting,FREE,,
TRUE,3/12/2026,,3/13/2026,,St Ann: Kindergarten NO School,OOF,,
TRUE,3/13/2026,,3/14/2026,,St Ann: Kindergarten NO School,OOF,,
TRUE,3/16/2026,,3/17/2026,,St Ann: No School & YCC Closed | Spring Break,OOF,,
TRUE,3/17/2026,,3/18/2026,,St Ann: No School & YCC Closed | Spring Break,OOF,,
TRUE,3/18/2026,,3/19/2026,,St Ann: No School & YCC Closed | Spring Break,OOF,,
TRUE,3/19/2026,,3/20/2026,,St Ann: No School & YCC Closed | Spring Break,OOF,,
TRUE,3/20/2026,,3/21/2026,,St Ann: No School & YCC Closed | Spring Break,OOF,,
FALSE,3/23/2026,7:30 AM,3/23/2026,8:00 AM,St Ann: First Day for Shorts,FREE,,
FALSE,3/23/2026,11:30 AM,3/23/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
TRUE,4/2/2026,,4/3/2026,,St Ann: No School & YCC Closed | Holy Thursday,OOF,,
TRUE,4/3/2026,,4/4/2026,,St Ann: No School & YCC Closed | Good Friday,OOF,,
TRUE,4/6/2026,,4/7/2026,,St Ann: No School & YCC Closed | Easter Break,OOF,,
FALSE,4/10/2026,7:30 AM,4/10/2026,8:00 AM,St Ann: Spirit Day & Spirit Day Cafe,FREE,,
FALSE,4/10/2026,11:40 AM,4/10/2026,5:00 PM,St Ann: 25/26 Kindergarten Dismiss at 11:40 AM,OOF,,
FALSE,4/13/2026,11:30 AM,4/13/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,4/14/2026,7:00 PM,4/14/2026,8:00 PM,St Ann: PTO Meeting,FREE,,
TRUE,4/24/2026,,4/25/2026,,St Ann: No School | YCC & K-8,OOF,,
FALSE,4/27/2026,11:30 AM,4/27/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,5/11/2026,11:30 AM,5/11/2026,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
TRUE,5/15/2026,,5/16/2026,,St Ann: Field Day K-7,OOF,,
FALSE,5/18/2026,11:00 AM,5/18/2026,5:00 PM,St Ann: Kindergarten Last Day,OOF,,
